FILENAME, FILE PATH, FILE TYPE, FILE FORMAT, CODEC, VIDEO DETAILS, AUDIO FORMAT 
autorun.inf,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/autorun.inf,inf,,,,
VID00002.AVI,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/DCIM/100VIDEO/VID00002.AVI,AVI,AVI,XVID,MPEG-4 Visual - Advanced Simple - Default (MPEG) - XVID,ADPCM
VID00003.AVI,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/DCIM/100VIDEO/VID00003.AVI,AVI,AVI,XVID,MPEG-4 Visual - Advanced Simple - Default (MPEG) - XVID,ADPCM
VID00013.AVI,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/DCIM/100VIDEO/VID00013.AVI,AVI,AVI,XVID,MPEG-4 Visual - Advanced Simple - Default (MPEG) - XVID,ADPCM
VID00014.AVI,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/DCIM/100VIDEO/VID00014.AVI,AVI,AVI,XVID,MPEG-4 Visual - Advanced Simple - Default (MPEG) - XVID,ADPCM
VID00015.AVI,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/DCIM/100VIDEO/VID00015.AVI,AVI,AVI,XVID,MPEG-4 Visual - Advanced Simple - Default (MPEG) - XVID,ADPCM
VID00016.AVI,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/DCIM/100VIDEO/VID00016.AVI,AVI,AVI,XVID,MPEG-4 Visual - Advanced Simple - Default (MPEG) - XVID,ADPCM
VID00017.AVI,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/DCIM/100VIDEO/VID00017.AVI,AVI,AVI,XVID,MPEG-4 Visual - Advanced Simple - Default (MPEG) - XVID,ADPCM
VID00018.AVI,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/DCIM/100VIDEO/VID00018.AVI,AVI,AVI,XVID,MPEG-4 Visual - Advanced Simple - Default (MPEG) - XVID,ADPCM
VID00019.AVI,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/DCIM/100VIDEO/VID00019.AVI,AVI,AVI,XVID,MPEG-4 Visual - Advanced Simple - Default (MPEG) - XVID,ADPCM
